"-99,-48,9,0,0,0,0,0,0,0,0,0,-66,42,-62,44,-66,44,-69,48,-58,41,-54,35,-55,40,-53,38,-53,39,-52,33,-55,41,-54,40,-51,41,-49,38,-42,37,-46,44,-42,35,-40,31,-40,31,-41,34,-41,36,-42,37,-40,26,-39,36,-45,41,-40,40,0,0,-38,42,-35,48,-35,44,-36,45,-33,36,-35,45,-34,48,-34,34,-16,53,-9,41,-29,51,-35,42,-37,47,-33,47,-30,51,-34,53,-41,57,-38,50,-37,49,-40,55,-44,52,-42,52,-46,52,-51,54,-54,47,-55,48,0,0,0,0,0,0,0,0,0,0
"84,-64,4,0,0,0,0,0,0,0,0,0,9,6,9,5,10,5,10,5,10,5,9,5,9,3,10,3,10,4,11,2,11,3,11,2,11,1,12,1,12,2,12,1,12,0,12,0,12,-1,13,0,13,0,13,-1,12,-1,13,-2,14,-2,14,-2,0,0,14,-3,15,-3,15,-4,15,-4,15,-4,16,-4,17,-4,16,-4,16,-5,16,-5,18,-6,17,-5,18,-6,19,-6,18,-5,19,-5,21,-5,20,-5,20,-4,20,-4,21,-4,22,-2,21,-1,22,-1,22,0,21,0,0,0,0,0,0,0,0,0,0,0
"
"84,-64,4,0,0,0,0,0,0,0,0,0,8,6,8,6,10,6,9,6,8,6,8,6,8,5,6,4,7,4,7,4,7,4,7,3,8,3,7,3,6,3,7,2,6,1,6,2,6,2,6,2,6,2,6,1,5,1,6,0,6,1,6,0,0,0,6,0,6,-1,6,-2,6,-2,6,-1,6,-2,7,-3,8,-2,0,-3,5,-7,8,-3,7,-4,8,-5,8,-6,8,-5,8,-5,8,-5,10,-6,10,-5,10,-5,10,-4,11,-4,11,-4,11,-4,12,-3,12,-3,0,0,0,0,0,0,0,0,0,0
"
"84,-64,4,0,0,0,0,0,0,0,0,0,10,1,10,0,10,-1,10,-1,10,-1,9,-1,9,-2,9,-2,9,-2,9,-3,10,-4,10,-5,10,-5,10,-5,10,-5,10,-6,9,-7,9,-6,10,-7,10,-6,10,-6,11,-8,9,-7,8,-10,10,-10,9,-10,0,0,9,-11,10,-11,10,-12,9,-12,10,-12,10,-12,11,-13,10,-13,11,-13,9,-13,11,-16,10,-14,12,-15,11,-15,12,-14,12,-16,13,-16,13,-16,13,-15,14,-15,15,-14,16,-14,16,-14,16,-15,17,-13,17,-13,0,0,0,0,0,0,0,0,0,0
"
"84,-64,4,0,0,0,0,0,0,0,0,0,-12,5,-12,5,-11,5,-12,4,-11,4,-11,4,-11,4,-11,4,-11,4,-10,4,-10,4,-10,5,-10,4,-10,4,-10,3,-10,4,-9,4,-9,3,-9,3,-9,3,-9,3,-8,4,-8,4,-8,4,-8,4,-7,4,0,0,-8,4,-8,4,-8,4,-7,4,-7,4,-8,4,-7,4,-7,4,-7,5,-7,5,-7,5,-7,5,-7,5,-7,5,-7,5,-7,5,-8,5,-8,5,-8,5,-8,5,-9,5,-8,5,-9,5,-8,5,-10,5,-10,4,0,0,0,0,0,0,0,0,0,0
"
"84,-64,4,0,0,0,0,0,0,0,0,0,-9,7,-9,7,-8,9,-8,7,-8,7,-8,7,-7,7,-7,7,-6,7,-5,8,-5,7,-5,7,-4,8,-5,8,-4,8,-4,9,-3,8,-2,8,-2,9,-2,8,-3,10,-2,9,-3,7,-2,9,-1,10,-2,8,0,0,0,10,1,9,0,11,1,11,0,10,0,11,0,13,1,11,2,11,3,11,3,13,2,11,1,12,2,13,3,13,2,14,1,15,2,15,1,15,2,16,0,17,0,16,-2,17,-2,18,-3,17,-3,17,0,0,0,0,0,0,0,0,0,0
"
"84,-64,4,0,0,0,0,0,0,0,0,0,0,-12,0,-12,-1,-12,0,-12,0,-11,0,-11,0,-10,-1,-9,0,-10,-1,-8,0,-10,-1,-10,-1,-9,0,-9,0,-8,-1,-9,-1,-8,-1,-8,-1,-8,-2,-7,-1,-7,-2,-7,-1,-7,-2,-7,-2,-7,-2,-7,0,0,-2,-7,-3,-6,-3,-6,-3,-6,-3,-6,-3,-5,-4,-5,-3,-5,-4,-6,-4,-6,-5,-6,-4,-5,-5,-6,-6,-5,-5,-6,-5,-6,-6,-6,-5,-7,-6,-7,-6,-7,-5,-8,-6,-8,-5,-8,-6,-9,-5,-10,-4,-10,0,0,0,0,0,0,0,0,0,0
"
"84,-64,4,0,0,0,0,0,0,0,0,0,-1,8,-1,8,0,8,0,9,0,8,0,8,0,7,0,7,1,7,2,7,2,7,3,7,3,7,4,7,3,7,5,7,5,7,4,6,5,6,5,6,5,7,6,7,5,7,7,6,7,7,8,6,0,0,8,6,9,6,9,6,9,6,10,7,10,7,11,7,10,7,10,8,10,7,11,8,11,7,11,8,12,7,10,8,12,9,13,9,12,9,11,10,11,10,11,11,11,12,10,11,12,12,9,13,9,13,0,0,0,0,0,0,0,0,0,0
"
"84,-64,4,0,0,0,0,0,0,0,0,0,-8,0,-8,1,-7,2,-9,1,-7,1,-7,1,-7,2,-6,2,-6,2,-5,2,-6,2,-6,3,-6,3,-6,3,-6,2,-5,4,-4,3,-4,3,-4,4,-5,4,-4,3,-4,4,-4,3,-3,5,-4,5,-3,5,0,0,-3,6,-3,6,-3,7,-2,7,-3,6,-3,7,-2,7,-3,7,-2,8,-2,7,-2,8,-3,7,-3,8,-3,9,-2,9,-2,9,-4,10,-3,11,-3,10,-4,10,-5,10,-5,9,-5,9,-5,10,-7,9,-7,9,0,0,0,0,0,0,0,0,0,0
"
"84,-64,4,0,0,0,0,0,0,0,0,0,10,-3,9,-4,9,-5,10,-4,9,-4,9,-4,8,-5,8,-6,8,-6,8,-6,10,-8,8,-9,9,-9,8,-8,9,-8,9,-10,8,-9,8,-9,6,-10,7,-10,10,-10,7,-12,9,-11,6,-13,9,-12,8,-12,0,0,7,-13,9,-15,8,-14,7,-15,8,-14,8,-16,9,-15,7,-13,10,-19,8,-14,7,-16,8,-14,9,-17,9,-18,9,-17,9,-17,9,-18,10,-17,9,-17,10,-17,12,-16,13,-16,13,-16,12,-17,14,-15,14,-14,0,0,0,0,0,0,0,0,0,0
"
"84,-64,4,0,0,0,0,0,0,0,0,0,-8,3,-8,4,-7,5,-8,5,-7,4,-7,4,-6,5,-5,5,-6,5,-4,5,-6,7,-5,8,-5,8,-5,7,-5,7,-4,8,-3,8,-4,7,-3,8,-4,8,-4,8,-4,10,-4,8,-1,10,-2,11,-2,11,0,0,-1,12,-2,11,-1,13,0,12,-1,12,-2,13,-1,13,-1,13,0,15,0,13,1,16,0,13,0,14,-1,15,-1,15,0,16,-1,17,-1,17,-2,17,-2,17,-3,17,-3,16,-4,16,-3,18,-5,17,-6,17,0,0,0,0,0,0,0,0,0,0
"
"84,-64,4,0,0,0,0,0,0,0,0,0,-8,-7,-7,-6,-9,-6,-9,-6,-10,-4,-8,-4,-9,-5,-8,-4,-9,-3,-9,-3,-10,-3,-11,-2,-11,-2,-11,-2,-11,-2,-12,-2,-10,-1,-11,-1,-11,0,-12,0,-12,-1,-12,0,-11,-1,-12,1,-14,1,-13,2,0,0,-13,2,-14,3,-14,4,-15,3,-15,4,-15,3,-14,4,-17,4,-16,-4,-20,-4,-17,4,-15,3,-16,5,-17,5,-17,5,-18,4,-19,5,-18,4,-19,3,-19,3,-20,2,-21,2,-20,1,-20,0,-20,-1,-21,-3,0,0,0,0,0,0,0,0,0,0
"
"84,-64,4,0,0,0,0,0,0,0,0,0,4,8,3,8,5,7,4,7,3,7,4,7,3,7,3,6,3,6,4,5,4,6,4,5,4,5,4,4,4,5,5,4,4,3,4,3,5,3,5,3,5,3,5,3,5,3,5,2,6,2,6,2,0,0,6,1,7,1,7,1,7,0,7,0,7,0,8,0,8,0,8,0,8,0,9,-1,9,-1,9,-1,10,-1,9,0,10,0,11,0,11,0,11,1,11,1,11,2,12,2,11,3,13,3,11,4,12,5,0,0,0,0,0,0,0,0,0,0
"
"84,-64,4,0,0,0,0,0,0,0,0,0,-5,-10,-5,-9,-6,-8,-7,-10,-6,-9,-6,-9,-7,-9,-7,-7,-8,-9,-8,-7,-9,-9,-10,-8,-11,-8,-9,-8,-10,-8,-12,-7,-10,-6,-10,-7,-11,-5,-11,-7,-11,-8,-12,-6,-11,-7,-13,-5,-15,-7,-15,-6,0,0,-15,-5,-16,-6,-17,-5,-17,-4,-16,-5,-17,-5,-18,-5,-17,-4,-18,-5,-17,-4,-20,-5,-17,-5,-19,-5,-19,-5,-19,-5,-20,-5,-22,-6,-21,-6,-20,-7,-20,-7,-19,-9,-20,-9,-19,-9,-21,-9,-18,-11,-18,-12,0,0,0,0,0,0,0,0,0,0
"
"84,-64,4,0,0,0,0,0,0,0,0,0,-1,9,-1,9,1,8,-1,9,0,8,0,8,0,7,1,7,1,7,2,6,1,7,2,6,3,6,2,6,2,6,4,6,3,5,3,6,4,4,3,4,4,5,4,4,4,4,5,3,5,4,6,3,0,0,7,3,7,3,7,4,7,3,7,3,8,3,8,3,8,2,9,3,8,2,11,2,9,2,10,3,11,2,10,3,12,4,12,3,12,4,12,4,12,5,11,5,12,5,12,6,13,6,11,8,11,9,0,0,0,0,0,0,0,0,0,0
"
"84,-64,4,0,0,0,0,0,0,0,0,0,-6,4,-5,4,-5,4,-6,4,-5,4,-5,4,-4,5,-4,4,-3,4,-3,4,-4,5,-3,5,-2,5,-3,6,-2,5,-1,6,-1,5,-1,6,-1,5,0,6,0,6,0,6,0,7,2,7,1,7,2,7,0,0,2,7,2,8,2,7,4,7,3,7,4,8,4,9,2,8,7,9,2,10,4,10,3,9,5,10,5,9,5,11,6,11,6,10,6,11,5,11,5,12,5,12,5,12,4,13,4,13,2,14,2,14,0,0,0,0,0,0,0,0,0,0
"
"84,-64,4,0,0,0,0,0,0,0,0,0,6,8,7,8,7,7,7,7,6,7,5,7,5,6,5,6,5,6,5,5,6,5,6,4,5,4,5,4,6,4,6,3,6,2,5,3,6,2,5,3,6,3,6,2,5,2,6,1,7,1,7,1,0,0,7,0,6,1,7,0,7,-1,7,0,8,0,8,0,8,-1,8,-1,8,-1,9,-2,9,-2,10,-1,10,-2,10,-2,10,-2,11,-1,11,-2,11,-1,12,0,12,0,12,1,12,2,13,2,12,3,13,3,0,0,0,0,0,0,0,0,0,0
"
"84,-64,4,0,0,0,0,0,0,0,0,0,2,-9,1,-8,1,-9,2,-10,2,-8,2,-8,2,-8,1,-7,1,-7,1,-7,1,-7,0,-8,0,-6,0,-6,1,-6,-1,-7,-1,-6,0,-6,-1,-6,-1,-5,-1,-6,-1,-5,-1,-6,-2,-5,-2,-5,-2,-5,0,0,-3,-6,-3,-5,-3,-6,-3,-5,-3,-5,-4,-5,-4,-6,-4,-5,-5,-1,-4,-5,-4,-7,-4,-6,-6,-6,-6,-6,-5,-7,-6,-7,-6,-7,-5,-7,-5,-8,-5,-8,-5,-9,-5,-9,-5,-10,-5,-10,-4,-10,-4,-10,0,0,0,0,0,0,0,0,0,0
"
"84,-64,4,0,0,0,0,0,0,0,0,0,2,-11,1,-11,1,-10,1,-11,1,-10,1,-9,1,-9,0,-8,1,-9,1,-8,1,-9,0,-8,0,-8,0,-7,0,-7,-1,-8,-1,-7,-1,-7,-1,-6,-1,-6,-1,-7,-2,-6,-1,-6,-2,-6,-2,-6,-2,-6,0,0,-2,-7,-3,-6,-4,-6,-4,-7,-3,-6,-4,-6,-4,-6,-4,-6,-5,-7,-5,-6,-5,-7,-5,-6,-5,-7,-6,-7,-5,-8,-6,-8,-7,-8,-6,-9,-6,-9,-5,-10,-5,-10,-6,-10,-4,-11,-5,-11,-3,-11,-3,-12,0,0,0,0,0,0,0,0,0,0
"
"82,-96,4,0,0,0,0,0,0,0,0,0,-16,18,-17,17,-15,17,-15,19,-14,16,-14,15,-13,14,-11,14,-11,14,-10,13,-11,15,-10,15,-8,16,-8,14,-8,12,-7,14,-6,13,-6,11,-5,13,-5,12,-4,12,-4,12,-4,11,-3,13,-2,13,-1,13,0,0,0,14,1,14,1,14,2,14,1,13,2,15,3,16,3,15,3,16,4,15,6,17,4,16,5,18,6,18,5,18,6,21,7,21,5,22,5,22,3,23,3,23,3,24,1,24,2,26,0,26,-2,25,0,0,0,0,0,0,0,0,0,0
"
"84,-64,4,0,0,0,0,0,0,0,0,0,-2,-9,-3,-9,-3,-8,-3,-9,-3,-8,-3,-8,-3,-7,-4,-6,-4,-7,-4,-6,-5,-7,-6,-7,-7,-7,-7,-6,-7,-7,-7,-6,-7,-5,-7,-5,-8,-5,-8,-5,-8,-6,-9,-5,-8,-6,-10,-4,-11,-5,-11,-4,0,0,-12,-4,-12,-5,-13,-4,-13,-3,-13,-4,-14,-4,-14,-4,-15,-3,-14,-6,-18,-9,-17,-3,-15,-3,-16,-5,-17,-3,-15,-6,-17,-5,-19,-5,-18,-6,-17,-7,-17,-7,-17,-8,-17,-9,-17,-9,-18,-10,-17,-11,-17,-11,0,0,0,0,0,0,0,0,0,0
"
"84,-64,4,0,0,0,0,0,0,0,0,0,0,8,0,7,1,7,1,8,1,6,1,7,2,7,2,5,2,6,3,5,4,6,4,5,4,5,5,5,4,5,6,5,6,4,5,4,6,3,6,3,6,4,7,4,6,4,8,2,9,3,9,2,0,0,9,1,10,2,11,1,11,1,11,1,11,1,13,1,12,1,13,1,12,0,14,0,13,0,14,1,15,1,14,1,15,1,17,1,16,2,16,3,16,3,16,4,17,4,16,4,18,4,16,6,16,7,0,0,0,0,0,0,0,0,0,0
"
"84,-64,4,0,0,0,0,0,0,0,0,0,8,-5,7,-5,7,-5,7,-5,6,-5,6,-4,6,-4,5,-4,5,-4,4,-4,5,-4,4,-5,3,-5,3,-4,3,-5,3,-5,2,-5,2,-4,1,-5,1,-5,2,-5,1,-5,2,-4,0,-5,0,-5,0,-5,0,0,0,-6,-1,-6,-1,-5,-1,-6,-2,-6,-2,-6,-2,-6,-2,-6,-5,-8,-2,-6,-3,-6,-4,-7,-4,-7,-3,-7,-3,-8,-3,-8,-4,-9,-4,-8,-3,-9,-4,-9,-3,-10,-3,-10,-3,-11,-3,-11,-2,-11,-1,-11,0,0,0,0,0,0,0,0,0,0
"
"84,-64,4,0,0,0,0,0,0,0,0,0,-8,1,-8,2,-7,3,-8,2,-7,3,-6,3,-7,4,-6,4,-6,5,-5,4,-7,5,-6,6,-6,6,-6,6,-6,6,-6,7,-5,7,-5,7,-4,8,-5,8,-5,7,-4,9,-5,8,-4,9,-5,10,-3,11,0,0,-3,11,-4,11,-4,12,-3,12,-4,12,-3,13,-3,13,-3,12,-3,14,-3,13,-3,15,-3,13,-4,14,-3,15,-4,15,-3,16,-5,17,-5,17,-5,16,-5,16,-6,16,-7,16,-7,15,-7,16,-9,16,-9,16,0,0,0,0,0,0,0,0,0,0
"
"84,-64,4,0,0,0,0,0,0,0,0,0,-10,-5,-9,-3,-9,-3,-9,-5,-8,-4,-8,-3,-8,-2,-8,-2,-7,-2,-6,-2,-7,-1,-7,-1,-7,-1,-7,-1,-6,-1,-6,0,-6,0,-5,0,-6,0,-5,1,-5,0,-5,1,-5,1,-5,2,-4,2,-5,3,0,0,-4,4,-4,3,-4,4,-3,4,-4,3,-3,5,-3,5,-3,6,-3,6,-3,6,-3,7,-3,6,-4,7,-3,7,-4,8,-4,9,-5,9,-5,10,-5,10,-5,9,-6,9,-6,9,-7,9,-7,10,-8,9,-9,9,0,0,0,0,0,0,0,0,0,0
"
"84,-64,4,0,0,0,0,0,0,0,0,0,2,8,2,8,4,7,2,8,2,7,1,8,2,7,1,6,1,6,2,5,2,7,2,6,3,5,2,5,2,5,3,5,3,3,2,4,3,3,2,4,2,4,3,3,2,3,3,2,3,3,4,2,0,0,4,2,4,2,5,1,5,0,4,1,4,1,5,1,5,0,5,0,5,0,6,-1,6,-1,6,-1,6,-1,6,0,8,-1,9,-1,8,0,8,0,8,0,8,1,9,2,9,3,11,2,10,3,9,4,0,0,0,0,0,0,0,0,0,0
"
"84,-64,4,0,0,0,0,0,0,0,0,0,7,-2,6,-3,7,-4,7,-3,6,-3,5,-3,5,-4,4,-3,5,-4,4,-4,5,-5,4,-5,4,-5,3,-5,4,-5,3,-6,2,-6,2,-6,2,-6,2,-6,3,-6,1,-7,2,-6,0,-6,1,-7,0,-8,0,0,-1,-8,0,-8,-1,-9,-1,-9,-1,-9,-1,-9,-1,-9,-1,-9,-2,-10,-3,-9,-3,-11,-2,-10,-2,-11,-2,-11,-3,-12,-4,-13,-3,-14,-3,-15,-3,-14,-2,-14,-1,-15,-2,-14,-1,-15,-1,-16,1,-15,2,-16,0,0,0,0,0,0,0,0,0,0
"
"84,-64,4,0,0,0,0,0,0,0,0,0,6,6,6,5,6,4,7,5,6,5,6,4,6,3,6,3,6,3,7,2,7,2,7,1,8,1,7,0,7,1,9,-1,7,-1,8,0,9,-1,8,-1,8,-1,9,-2,8,-1,8,-3,10,-3,9,-3,0,0,9,-3,11,-4,10,-5,10,-5,10,-4,11,-6,11,-6,10,-6,11,-6,11,-7,11,-8,11,-7,13,-8,12,-8,13,-7,13,-8,15,-8,14,-8,15,-7,16,-7,16,-7,17,-6,17,-6,18,-6,18,-4,18,-3,0,0,0,0,0,0,0,0,0,0
"
"84,-64,4,0,0,0,0,0,0,0,0,0,8,0,8,0,8,-1,8,0,7,0,7,0,6,-1,5,-1,6,-1,5,-1,6,-2,6,-2,6,-2,5,-2,5,-2,5,-3,5,-3,5,-3,4,-3,4,-3,4,-3,4,-3,4,-4,3,-4,4,-4,4,-5,0,0,3,-5,3,-5,3,-5,2,-6,2,-5,2,-6,2,-6,2,-6,2,-7,2,-7,2,-8,2,-7,2,-8,1,-8,2,-9,1,-9,2,-10,3,-10,3,-10,3,-10,4,-10,4,-11,5,-11,5,-11,6,-11,7,-10,0,0,0,0,0,0,0,0,0,0
"
"84,-64,4,0,0,0,0,0,0,0,0,0,-6,9,-5,9,-5,9,-5,10,-4,9,-4,9,-4,10,-3,10,-3,11,-2,10,-3,12,-1,12,-2,11,-2,12,-2,12,-2,12,0,12,0,12,0,12,0,11,-1,13,0,13,0,14,0,13,1,14,2,15,0,0,2,15,2,14,2,15,3,15,3,15,3,16,3,15,3,15,3,16,4,16,4,17,3,15,2,16,4,17,3,18,4,19,4,19,4,20,3,19,3,19,2,20,1,20,0,19,1,20,-1,21,-2,21,0,0,0,0,0,0,0,0,0,0
"
"84,-64,4,0,0,0,0,0,0,0,0,0,5,-9,5,-10,4,-9,5,-9,3,-9,3,-10,3,-10,2,-10,2,-11,1,-10,1,-11,0,-12,0,-11,0,-11,0,-11,-2,-13,-2,-12,-2,-12,-3,-11,-3,-12,-2,-12,-3,-12,-1,-12,-5,-11,-5,-12,-4,-13,0,0,-6,-13,-5,-14,-6,-13,-7,-13,-6,-13,-7,-13,-7,-15,-7,-11,-13,-13,-6,-15,-7,-18,-9,-14,-10,-15,-10,-14,-11,-17,-10,-17,-10,-16,-9,-16,-9,-17,-9,-18,-9,-18,-8,-18,-8,-18,-10,-19,-7,-20,-6,-20,0,0,0,0,0,0,0,0,0,0
"
"84,-64,4,0,0,0,0,0,0,0,0,0,6,-6,5,-6,5,-7,6,-7,5,-6,5,-6,4,-6,3,-5,4,-6,3,-6,4,-6,3,-7,3,-6,3,-6,3,-6,2,-7,2,-6,2,-6,2,-6,1,-5,2,-6,2,-6,1,-6,0,-6,1,-7,1,-7,0,0,0,-7,0,-7,0,-8,-1,-7,0,-7,0,-7,-1,-7,-1,-7,-1,-8,-1,-7,-2,-9,-1,-7,-1,-8,-2,-9,-2,-9,-2,-10,-2,-10,-1,-11,-1,-10,0,-11,0,-11,0,-11,0,-11,0,-12,2,-11,3,-12,0,0,0,0,0,0,0,0,0,0
"
"84,-64,4,0,0,0,0,0,0,0,0,0,2,-9,1,-9,0,-9,1,-10,0,-10,0,-9,-1,-10,-1,-10,-1,-10,-1,-10,-2,-11,-2,-12,-3,-12,-3,-11,-2,-12,-4,-12,-4,-11,-3,-12,-4,-11,-4,-12,-4,-12,-6,-12,-4,-13,-7,-11,-5,-14,-6,-13,0,0,-7,-13,-8,-12,-7,-13,-9,-13,-8,-11,-8,-13,-8,-14,-8,-12,-7,-20,-9,-13,-10,-15,-7,-13,-8,-14,-9,-15,-10,-16,-10,-15,-11,-16,-10,-16,-9,-17,-9,-18,-8,-17,-9,-18,-8,-19,-8,-19,-6,-19,-5,-20,0,0,0,0,0,0,0,0,0,0
"
"84,-64,4,0,0,0,0,0,0,0,0,0,-7,-6,-9,-6,-8,-5,-9,-6,-8,-4,-8,-5,-10,-4,-9,-3,-9,-4,-9,-2,-10,-4,-10,-2,-12,-2,-11,-2,-12,-3,-12,-2,-12,-2,-11,-2,-12,0,-12,0,-12,-1,-13,0,-11,-1,-12,1,-14,0,-13,1,0,0,-14,2,-14,2,-15,3,-13,1,-15,3,-14,2,-15,3,-17,3,-15,2,-16,6,-19,6,-15,3,-15,3,-16,5,-16,4,-17,4,-19,4,-19,4,-19,3,-18,2,-19,3,-19,1,-19,1,-21,2,-20,-1,-20,-2,0,0,0,0,0,0,0,0,0,0
"
"84,-64,4,0,0,0,0,0,0,0,0,0,-9,0,-9,1,-9,1,-9,1,-8,1,-8,1,-8,2,-7,2,-8,2,-6,3,-8,3,-7,4,-7,4,-7,3,-7,3,-7,5,-5,5,-6,5,-5,5,-6,5,-6,5,-6,5,-6,5,-4,6,-5,6,-4,7,0,0,-4,8,-4,7,-4,8,-3,9,-4,8,-3,8,-3,9,-3,8,-3,10,-2,9,-3,11,-3,9,-2,10,-2,11,-3,11,-3,12,-2,13,-4,14,-4,13,-4,14,-5,13,-5,14,-5,13,-6,14,-8,14,-9,14,0,0,0,0,0,0,0,0,0,0
"
"84,-64,4,0,0,0,0,0,0,0,0,0,-9,4,-8,4,-8,5,-8,5,-7,5,-7,5,-7,6,-6,6,-7,6,-6,7,-7,8,-6,8,-6,8,-6,8,-6,8,-5,8,-5,9,-6,9,-5,9,-6,9,-6,9,-5,10,-5,9,-4,10,-5,11,-4,11,0,0,-3,12,-4,11,-4,12,-3,12,-3,12,-3,13,-3,13,-2,13,-3,15,-2,14,-2,15,-3,14,-3,15,-3,15,-3,16,-3,16,-3,17,-4,18,-4,17,-5,18,-6,17,-6,17,-6,17,-6,18,-8,17,-9,17,0,0,0,0,0,0,0,0,0,0
"
