"-99,-48,9,0,0,0,0,0,0,0,0,0,-4,-17,-5,-16,-7,-17,-8,-17,-8,-16,-7,-15,-8,-15,-8,-14,-9,-15,-9,-14,-11,-15,-12,-16,-12,-15,-11,-15,-11,-15,-14,-15,-12,-14,-11,-14,-13,-13,-12,-14,-13,-13,-15,-13,-12,-13,-14,-15,-17,-15,-16,-14,0,0,-16,-15,-17,-15,-17,-14,-18,-15,-16,-14,-18,-15,-18,-15,-16,-14,-20,-19,-16,-15,-18,-15,-15,-16,-17,-18,-18,-16,-17,-17,-18,-18,-19,-18,-16,-19,-17,-17,-15,-18,-15,-19,-14,-19,-14,-20,-14,-20,-11,-20,-9,-20,0,0,0,0,0,0,0,0,0,0
"84,-64,4,0,0,0,0,0,0,0,0,0,10,3,9,2,10,2,11,2,10,2,10,2,10,1,10,1,10,1,10,0,11,0,12,-1,12,-1,12,-1,13,0,13,-2,12,-2,12,-2,12,-2,12,-2,12,-2,13,-3,12,-3,13,-5,13,-4,14,-4,0,0,13,-4,14,-3,14,-3,14,-5,15,-4,15,-3,15,-3,14,-3,19,-3,13,-4,14,-4,14,-2,16,-2,16,-2,15,-3,15,-1,16,-2,16,-2,16,-1,15,-1,15,0,14,1,14,1,13,1,14,2,13,2,0,0,0,0,0,0,0,0,0,0
"
"84,-64,4,0,0,0,0,0,0,0,0,0,4,10,4,10,5,9,6,11,5,10,6,10,6,10,6,8,6,10,8,8,8,10,9,10,9,9,9,10,9,10,10,9,9,8,9,9,10,8,10,8,10,9,11,8,10,8,12,7,12,9,12,8,0,0,13,7,13,8,14,9,13,8,13,8,13,9,15,9,14,9,11,7,15,8,15,8,14,8,12,9,12,9,13,9,13,9,14,11,12,10,12,10,11,10,11,11,10,11,10,11,10,10,9,11,8,12,0,0,0,0,0,0,0,0,0,0
"
"84,-64,4,0,0,0,0,0,0,0,0,0,10,-4,9,-4,10,-5,11,-5,10,-6,10,-5,9,-6,9,-6,10,-6,10,-6,10,-7,10,-8,10,-8,10,-7,9,-7,9,-9,9,-8,10,-8,9,-9,10,-8,9,-8,10,-9,9,-9,8,-10,10,-10,9,-10,0,0,9,-10,10,-11,10,-10,9,-11,10,-10,11,-11,11,-10,11,-11,11,-6,16,-9,11,-11,11,-10,11,-12,11,-10,12,-10,13,-10,12,-10,12,-9,12,-8,12,-8,12,-7,13,-7,12,-6,12,-6,12,-6,12,-5,0,0,0,0,0,0,0,0,0,0
"
"84,-64,4,0,0,0,0,0,0,0,0,0,-1,-10,-2,-10,-3,-10,-3,-10,-4,-9,-4,-9,-4,-10,-4,-9,-5,-9,-5,-9,-5,-10,-6,-10,-6,-10,-6,-9,-6,-10,-7,-10,-7,-9,-7,-9,-8,-8,-8,-9,-8,-9,-9,-9,-8,-10,-9,-9,-9,-9,-10,-9,0,0,-10,-8,-10,-10,-10,-9,-11,-10,-10,-9,-11,-10,-11,-9,-10,-9,-14,-11,-9,-11,-10,-10,-11,-10,-11,-11,-10,-10,-12,-11,-11,-11,-11,-10,-10,-11,-10,-11,-10,-11,-9,-11,-10,-11,-8,-11,-8,-11,-7,-12,-7,-12,0,0,0,0,0,0,0,0,0,0
"
"84,-64,4,0,0,0,0,0,0,0,0,0,5,-6,5,-7,5,-6,5,-7,4,-7,4,-7,4,-7,3,-7,3,-8,3,-7,4,-8,3,-8,3,-9,3,-9,3,-9,3,-9,2,-9,2,-9,2,-9,1,-10,2,-9,1,-10,2,-10,0,-10,1,-11,1,-11,0,0,0,-11,1,-11,1,-12,0,-11,1,-11,0,-11,0,-12,1,-10,1,-12,3,-11,1,-11,1,-11,1,-12,0,-13,1,-12,2,-11,0,-12,1,-12,1,-12,2,-11,2,-12,3,-11,2,-11,2,-10,3,-9,4,-9,0,0,0,0,0,0,0,0,0,0
"
"84,-64,4,0,0,0,0,0,0,0,0,0,-7,2,-7,2,-7,3,-7,2,-7,3,-7,3,-7,3,-6,4,-7,4,-6,4,-7,4,-7,4,-7,4,-7,5,-7,5,-7,5,-6,5,-6,5,-6,6,-7,6,-6,5,-7,6,-7,6,-6,7,-7,7,-7,7,0,0,-6,8,-7,7,-8,8,-6,8,-7,7,-7,8,-7,8,-7,8,-5,5,-6,7,-8,8,-8,7,-8,8,-8,8,-7,7,-8,8,-8,8,-8,8,-9,7,-7,6,-10,6,-8,5,-8,6,-8,6,-8,5,-8,4,0,0,0,0,0,0,0,0,0,0
"
"84,-64,4,0,0,0,0,0,0,0,0,0,-8,-8,-8,-7,-10,-7,-9,-7,-10,-6,-9,-7,-9,-6,-10,-6,-10,-6,-11,-5,-12,-6,-12,-6,-12,-6,-12,-5,-11,-5,-13,-5,-12,-5,-12,-4,-13,-4,-13,-4,-14,-4,-14,-4,-13,-4,-14,-2,-14,-3,-14,-3,0,0,-16,-2,-16,-3,-15,-3,-16,-2,-16,-3,-16,-3,-16,-1,-16,-6,-9,-2,-10,-2,-16,-5,-15,-4,-17,-5,-17,-4,-16,-5,-15,-4,-17,-4,-15,-5,-16,-5,-15,-5,-15,-6,-15,-6,-15,-6,-14,-6,-14,-7,-12,-7,0,0,0,0,0,0,0,0,0,0
"
"84,-64,4,0,0,0,0,0,0,0,0,0,3,-10,2,-10,0,-9,1,-10,1,-10,1,-11,1,-10,-1,-9,0,-12,-1,-10,-1,-11,-1,-11,-2,-11,-1,-12,-2,-13,-2,-12,-2,-11,-3,-11,-4,-12,-3,-12,-3,-11,-3,-12,-2,-12,-4,-12,-3,-14,-5,-13,0,0,-5,-14,-2,-13,-3,-14,-5,-12,-3,-13,-5,-15,-2,-14,-5,-12,-1,-17,-6,-10,-5,-14,-4,-13,-2,-14,-2,-15,-3,-14,-3,-14,-2,-16,-2,-15,1,-15,-1,-14,0,-15,1,-13,0,-15,-1,-15,-1,-14,1,-12,0,0,0,0,0,0,0,0,0,0
"
"84,-64,4,0,0,0,0,0,0,0,0,0,-12,2,-10,3,-11,3,-11,3,-11,4,-11,3,-11,5,-10,5,-10,5,-11,5,-11,6,-11,6,-11,7,-10,6,-11,7,-11,8,-9,7,-10,7,-10,7,-11,8,-11,8,-10,8,-11,8,-10,10,-11,9,-11,10,0,0,-10,10,-11,10,-11,10,-11,11,-12,10,-12,10,-11,11,-11,9,-7,12,-6,7,-13,10,-13,9,-14,9,-13,9,-13,10,-13,9,-15,9,-13,9,-14,7,-14,8,-14,7,-14,6,-14,6,-14,5,-14,4,-14,4,0,0,0,0,0,0,0,0,0,0
"
"84,-64,4,0,0,0,0,0,0,0,0,0,-11,0,-11,1,-12,3,-13,2,-12,2,-12,2,-12,3,-11,3,-12,3,-11,4,-13,4,-12,5,-13,4,-12,5,-12,4,-13,6,-10,6,-11,5,-11,6,-11,6,-12,6,-11,6,-12,6,-11,9,-13,9,-12,8,0,0,-12,8,-14,8,-13,10,-13,10,-12,8,-13,10,-15,9,-12,8,-15,12,-12,9,-13,8,-13,8,-14,9,-14,10,-13,8,-13,9,-15,8,-14,8,-13,7,-13,6,-13,5,-14,5,-14,4,-14,4,-13,3,-13,3,0,0,0,0,0,0,0,0,0,0
"
"84,-64,4,0,0,0,0,0,0,0,0,0,-7,10,-6,10,-6,10,-7,10,-6,11,-5,11,-5,11,-5,10,-5,11,-4,12,-4,12,-3,13,-4,13,-3,13,-4,12,-2,13,-2,12,-3,13,-2,12,-3,13,-2,13,-2,14,-2,13,0,14,-1,15,0,15,0,0,0,16,0,15,-1,16,0,16,-1,15,0,16,-1,17,0,13,-4,23,-2,17,0,18,0,18,-2,17,-2,16,-2,16,-2,16,-3,16,-3,15,-4,16,-4,16,-5,15,-5,14,-5,14,-5,14,-5,13,-6,13,0,0,0,0,0,0,0,0,0,0
"
"84,-64,4,0,0,0,0,0,0,0,0,0,9,1,9,0,10,0,10,-1,9,0,9,-1,9,-1,9,-2,10,-1,9,-3,10,-3,10,-4,10,-4,10,-4,10,-4,11,-5,10,-5,10,-4,10,-5,10,-5,10,-4,11,-6,10,-4,9,-7,11,-7,11,-8,0,0,10,-8,11,-7,11,-8,11,-8,10,-7,12,-8,12,-8,11,-10,14,-7,11,-6,12,-12,11,-9,11,-8,12,-7,11,-7,11,-8,13,-7,12,-7,11,-6,13,-5,12,-5,13,-5,13,-4,12,-4,12,-3,12,-3,0,0,0,0,0,0,0,0,0,0
"
"84,-64,4,0,0,0,0,0,0,0,0,0,10,-5,9,-6,9,-7,10,-7,9,-7,9,-7,8,-7,8,-8,9,-8,8,-8,9,-9,8,-9,9,-10,8,-9,8,-9,8,-11,7,-11,7,-10,7,-11,8,-11,7,-11,7,-11,7,-11,6,-12,8,-13,7,-13,0,0,7,-13,7,-14,7,-14,6,-14,7,-13,7,-14,7,-14,7,-14,7,-15,7,-14,7,-15,7,-14,8,-15,8,-14,7,-14,8,-14,9,-14,8,-14,9,-13,9,-13,9,-12,10,-11,10,-11,10,-11,10,-10,10,-9,0,0,0,0,0,0,0,0,0,0
"
"84,-64,4,0,0,0,0,0,0,0,0,0,6,9,6,8,7,8,7,8,7,8,7,8,8,6,7,7,7,7,9,7,9,7,9,5,10,6,9,6,10,7,11,6,11,5,10,6,12,5,11,6,11,5,12,6,11,5,12,4,13,6,13,5,0,0,13,4,14,5,13,5,14,5,14,5,14,5,14,4,13,5,8,3,7,5,15,5,15,6,14,6,15,7,14,7,14,7,15,6,13,6,13,7,12,7,13,7,12,8,12,8,11,9,10,9,10,9,0,0,0,0,0,0,0,0,0,0
"
"84,-64,4,0,0,0,0,0,0,0,0,0,0,-12,-1,-12,-1,-11,-1,-12,-2,-11,-2,-12,-2,-12,-2,-11,-3,-12,-3,-11,-3,-13,-4,-13,-4,-12,-4,-13,-4,-13,-5,-13,-5,-13,-5,-12,-6,-12,-6,-13,-6,-13,-7,-13,-5,-13,-8,-13,-7,-13,-8,-14,0,0,-8,-14,-8,-13,-9,-14,-8,-14,-8,-14,-8,-14,-9,-14,-9,-14,-8,-15,-8,-14,-8,-15,-8,-14,-8,-15,-8,-15,-7,-15,-7,-16,-7,-15,-6,-16,-6,-16,-5,-16,-5,-15,-5,-15,-4,-15,-4,-15,-3,-15,-2,-15,0,0,0,0,0,0,0,0,0,0
"
"84,-64,4,0,0,0,0,0,0,0,0,0,3,11,4,11,5,11,5,12,5,11,4,11,6,11,5,10,6,11,7,10,7,12,8,11,8,11,8,10,7,11,10,10,9,9,8,11,9,10,9,10,9,11,10,10,9,10,11,8,11,11,11,10,0,0,12,10,12,10,13,10,13,10,12,10,13,11,13,11,12,10,13,11,12,11,13,12,11,11,12,11,12,11,12,12,12,11,12,12,10,13,10,12,10,12,9,12,9,12,9,13,8,12,6,13,6,13,0,0,0,0,0,0,0,0,0,0
"
"84,-64,4,0,0,0,0,0,0,0,0,0,-10,2,-10,3,-10,4,-11,3,-10,4,-10,4,-10,5,-9,5,-10,5,-10,5,-10,6,-10,6,-10,7,-10,7,-10,6,-10,8,-9,7,-9,7,-9,8,-10,8,-10,7,-10,9,-9,7,-8,9,-10,9,-9,9,0,0,-9,10,-10,10,-10,10,-9,11,-9,10,-10,10,-10,10,-10,10,-11,11,-10,9,-10,11,-10,10,-11,10,-11,10,-11,9,-10,10,-11,9,-11,9,-11,8,-11,8,-11,7,-12,6,-12,7,-11,7,-12,5,-12,5,0,0,0,0,0,0,0,0,0,0
"
"84,-64,4,0,0,0,0,0,0,0,0,0,-6,9,-5,9,-5,9,-5,10,-5,10,-5,9,-5,10,-4,10,-4,11,-3,10,-3,12,-3,11,-2,12,-3,11,-3,11,-2,12,-1,12,-2,12,-1,12,-1,12,-2,12,-1,13,-1,12,0,13,0,13,0,14,0,0,0,14,0,14,0,14,1,14,0,14,0,15,0,15,0,14,1,15,0,15,1,16,0,15,-1,15,-1,15,0,15,-1,15,-1,16,-2,15,-2,14,-2,15,-3,14,-3,13,-3,13,-4,13,-5,13,-5,13,0,0,0,0,0,0,0,0,0,0
"
"84,-64,4,0,0,0,0,0,0,0,0,0,11,-1,11,-2,11,-2,11,-2,11,-2,11,-3,10,-3,10,-3,11,-4,10,-4,11,-5,11,-5,11,-6,11,-5,12,-5,11,-7,10,-7,11,-6,11,-7,11,-7,11,-6,11,-7,11,-7,10,-9,12,-8,11,-9,0,0,11,-9,12,-8,12,-9,12,-9,12,-9,13,-9,13,-9,12,-9,13,-10,12,-9,13,-10,12,-9,13,-9,13,-9,12,-8,13,-8,14,-8,13,-8,13,-7,13,-7,13,-6,14,-4,13,-5,13,-5,13,-3,13,-4,0,0,0,0,0,0,0,0,0,0
"
"84,-64,4,0,0,0,0,0,0,0,0,0,-9,-5,-9,-4,-10,-4,-10,-4,-11,-3,-10,-3,-10,-3,-10,-2,-11,-2,-11,-2,-11,-2,-11,-1,-11,-1,-12,-1,-12,-1,-12,0,-11,0,-11,0,-12,1,-12,0,-13,0,-13,1,-12,1,-12,2,-13,2,-13,2,0,0,-13,3,-13,2,-14,3,-14,3,-13,2,-14,3,-15,3,-14,3,-14,2,-14,3,-15,3,-14,3,-15,2,-15,2,-14,2,-14,2,-15,1,-15,1,-14,1,-14,1,-14,0,-14,-1,-14,-1,-14,-1,-13,-2,-13,-2,0,0,0,0,0,0,0,0,0,0
"
"84,-64,4,0,0,0,0,0,0,0,0,0,7,5,7,5,9,4,8,4,8,4,8,3,9,3,8,3,9,3,9,2,9,3,10,2,10,2,11,2,10,3,11,1,11,1,10,1,11,1,11,1,11,1,12,1,11,1,12,0,13,1,12,0,0,0,13,0,13,0,13,0,13,-1,13,0,14,0,14,0,13,0,14,1,13,0,14,0,13,1,14,1,14,1,13,1,13,1,14,2,13,2,13,2,12,3,13,4,13,4,12,4,12,4,11,5,11,5,0,0,0,0,0,0,0,0,0,0
"
"84,-64,4,0,0,0,0,0,0,0,0,0,-12,0,-11,1,-11,2,-12,2,-12,2,-11,2,-11,2,-11,3,-11,3,-11,4,-12,4,-12,5,-12,5,-12,4,-12,4,-12,6,-11,6,-12,5,-11,6,-12,6,-12,6,-11,7,-12,6,-11,8,-13,7,-12,8,0,0,-13,9,-13,9,-13,9,-12,10,-13,9,-13,9,-13,9,-13,8,-13,9,-13,8,-13,9,-14,8,-15,8,-13,8,-14,9,-14,8,-15,9,-14,7,-14,7,-14,7,-14,6,-15,5,-14,5,-15,4,-14,3,-14,3,0,0,0,0,0,0,0,0,0,0
"
"84,-64,4,0,0,0,0,0,0,0,0,0,6,5,7,5,8,4,8,5,7,4,7,4,8,4,7,3,8,4,8,2,9,3,9,3,9,3,10,2,10,3,10,2,9,1,8,2,10,1,10,2,10,2,10,2,10,3,11,0,12,1,12,1,0,0,12,1,12,1,13,0,12,0,12,1,12,1,13,1,12,0,13,1,12,0,13,0,12,1,13,2,13,2,12,2,13,2,14,2,13,2,12,3,11,2,11,3,11,5,11,4,11,4,10,5,10,5,0,0,0,0,0,0,0,0,0,0
"
"84,-64,4,0,0,0,0,0,0,0,0,0,-1,12,0,12,0,12,0,13,0,12,1,12,1,12,1,11,2,11,3,11,3,12,4,13,4,12,4,13,3,13,4,13,5,12,4,11,6,12,4,12,4,13,5,13,5,12,7,11,7,13,7,13,0,0,8,13,8,13,7,14,7,14,7,13,6,13,7,14,7,15,4,14,9,11,10,16,7,14,7,14,6,14,6,14,7,15,5,15,5,15,5,15,4,15,4,15,4,14,3,14,3,14,1,13,2,14,0,0,0,0,0,0,0,0,0,0
"
"84,-64,4,0,0,0,0,0,0,0,0,0,-10,4,-10,5,-10,6,-10,6,-9,6,-10,6,-10,7,-10,6,-10,7,-9,7,-10,8,-9,9,-9,9,-9,9,-10,9,-9,9,-8,10,-8,8,-8,10,-8,9,-9,9,-9,11,-8,9,-8,12,-9,11,-9,12,0,0,-8,12,-9,12,-8,13,-9,13,-8,12,-9,13,-10,13,-9,13,-8,10,-8,13,-9,15,-9,12,-10,13,-10,12,-10,11,-11,12,-11,11,-12,12,-11,11,-11,10,-11,10,-12,9,-12,8,-12,8,-11,8,-12,7,0,0,0,0,0,0,0,0,0,0
"
"84,-64,4,0,0,0,0,0,0,0,0,0,3,-10,3,-10,3,-11,3,-11,2,-11,2,-10,1,-11,1,-10,1,-11,1,-12,1,-12,0,-12,0,-12,0,-12,0,-12,-1,-13,-1,-12,0,-12,-1,-12,-1,-13,-1,-13,-1,-13,-1,-13,-2,-13,-1,-14,-2,-13,0,0,-2,-14,-2,-15,-2,-14,-2,-15,-2,-14,-2,-14,-2,-16,-1,-15,-8,-16,-7,-13,-3,-17,0,-14,0,-15,-1,-15,-1,-15,0,-15,1,-15,0,-16,0,-15,1,-14,1,-15,2,-14,3,-14,3,-14,3,-13,3,-13,0,0,0,0,0,0,0,0,0,0
"
"84,-64,4,0,0,0,0,0,0,0,0,0,-11,2,-10,2,-10,3,-11,3,-11,3,-10,3,-10,4,-10,4,-10,5,-10,5,-11,5,-10,6,-10,6,-11,6,-11,6,-11,7,-9,7,-10,7,-10,7,-11,8,-10,7,-10,8,-10,7,-10,9,-11,9,-10,8,0,0,-10,10,-11,9,-10,10,-11,10,-10,9,-11,10,-11,10,-11,10,-12,10,-11,10,-11,11,-12,9,-12,9,-12,10,-12,10,-12,9,-13,9,-12,9,-13,8,-12,7,-13,7,-13,6,-13,6,-13,6,-12,4,-13,4,0,0,0,0,0,0,0,0,0,0
"
"84,-64,4,0,0,0,0,0,0,0,0,0,9,4,9,4,10,4,11,4,11,4,10,3,10,3,10,2,11,3,11,2,12,2,12,2,12,1,12,1,13,2,13,1,12,0,12,1,13,-1,13,0,13,0,14,-1,13,0,14,-2,14,-1,14,-1,0,0,14,-1,15,-2,15,-2,15,-3,15,-2,16,-2,16,-2,16,-2,15,-2,15,-1,17,-2,15,-1,17,-1,16,-1,16,0,16,-1,16,-1,16,1,15,1,15,2,16,2,15,3,15,3,14,3,13,4,12,4,0,0,0,0,0,0,0,0,0,0
"
"84,-64,4,0,0,0,0,0,0,0,0,0,9,-7,8,-8,9,-8,10,-8,8,-8,8,-8,8,-8,7,-9,7,-9,7,-10,8,-11,7,-11,7,-11,7,-11,7,-11,6,-13,6,-12,6,-12,6,-12,5,-13,6,-12,5,-13,6,-13,5,-14,6,-14,5,-15,0,0,5,-15,5,-16,4,-15,5,-16,5,-15,5,-15,5,-16,6,-16,5,-16,5,-16,6,-17,6,-16,6,-16,6,-16,6,-16,6,-16,7,-16,7,-16,7,-15,7,-15,8,-14,8,-14,9,-14,8,-13,9,-13,9,-12,0,0,0,0,0,0,0,0,0,0
"
"84,-64,4,0,0,0,0,0,0,0,0,0,6,-8,5,-8,5,-9,5,-9,5,-9,4,-9,4,-9,3,-10,3,-10,2,-10,3,-11,2,-11,2,-11,3,-11,3,-11,2,-12,2,-11,2,-11,1,-12,1,-11,1,-12,2,-12,1,-12,-1,-12,1,-13,1,-13,0,0,1,-14,0,-14,0,-13,0,-14,1,-14,1,-14,0,-14,3,-16,0,-9,0,-11,2,-15,1,-15,2,-16,0,-15,2,-15,2,-14,3,-15,3,-15,3,-14,3,-14,4,-14,4,-13,5,-13,4,-13,4,-12,6,-11,0,0,0,0,0,0,0,0,0,0
"
"84,-64,4,0,0,0,0,0,0,0,0,0,-1,12,0,12,1,12,1,13,1,12,1,12,1,13,2,12,1,13,3,11,3,13,4,12,4,13,4,13,3,13,5,13,5,13,4,12,5,13,5,13,4,14,5,14,5,13,7,13,6,14,7,13,0,0,7,15,6,14,7,14,8,14,5,15,7,15,7,17,4,16,8,18,4,15,6,16,5,15,7,17,6,17,4,16,4,17,5,16,4,17,4,16,4,16,3,16,2,15,2,15,2,15,0,16,0,15,0,0,0,0,0,0,0,0,0,0
"
"84,-64,4,0,0,0,0,0,0,0,0,0,-4,10,-4,10,-4,10,-4,11,-3,11,-3,11,-3,11,-2,11,-3,11,-1,11,-1,12,0,12,0,13,-1,12,-1,12,-1,13,1,12,0,12,0,13,1,13,0,13,0,14,1,13,2,13,1,14,3,14,0,0,3,15,2,14,3,15,2,14,2,15,2,14,3,17,1,15,0,17,6,15,4,18,3,15,2,14,2,15,2,16,1,16,0,15,-1,16,-1,16,-1,15,-2,15,-2,15,-2,14,-2,13,-3,14,-4,13,0,0,0,0,0,0,0,0,0,0
"
"84,-64,4,0,0,0,0,0,0,0,0,0,-9,-7,-9,-6,-10,-6,-9,-6,-10,-5,-9,-5,-9,-5,-10,-4,-10,-5,-10,-4,-10,-4,-11,-4,-11,-4,-12,-3,-11,-4,-12,-3,-11,-3,-11,-3,-12,-2,-12,-3,-12,-3,-12,-3,-11,-3,-12,-1,-13,-2,-13,-2,0,0,-14,-2,-14,-2,-14,-2,-14,-2,-13,-2,-14,-3,-15,-3,-14,-3,-14,-3,-14,-3,-14,-2,-13,-3,-15,-3,-15,-3,-14,-4,-13,-4,-15,-5,-14,-4,-13,-4,-12,-5,-12,-6,-12,-7,-12,-6,-12,-6,-11,-6,-11,-6,0,0,0,0,0,0,0,0,0,0
"
"84,-64,4,0,0,0,0,0,0,0,0,0,6,10,7,10,9,10,8,10,8,10,9,9,9,9,9,8,10,9,10,9,11,9,11,9,11,8,11,9,11,9,13,8,12,7,12,8,13,7,13,8,13,7,13,8,12,7,15,5,15,8,15,7,0,0,16,6,15,6,15,7,16,7,16,6,16,7,17,6,15,9,11,3,10,4,16,8,16,8,17,9,16,8,16,9,15,8,17,9,15,10,15,9,14,9,14,10,13,10,13,9,13,10,11,11,10,11,0,0,0,0,0,0,0,0,0,0
"
"84,-64,4,0,0,0,0,0,0,0,0,0,-10,1,-9,1,-10,2,-10,2,-9,2,-9,2,-9,3,-8,3,-9,4,-8,4,-10,5,-9,5,-9,5,-9,5,-9,5,-9,6,-8,6,-8,6,-8,6,-9,6,-9,6,-9,7,-9,6,-8,8,-10,8,-9,8,0,0,-8,9,-9,8,-10,9,-9,9,-10,8,-10,9,-10,9,-9,9,-10,9,-9,9,-10,10,-10,9,-11,9,-11,9,-10,8,-10,9,-12,9,-10,8,-10,8,-10,7,-11,7,-11,6,-11,6,-11,6,-11,5,-11,5,0,0,0,0,0,0,0,0,0,0
"
"84,-64,4,0,0,0,0,0,0,0,0,0,8,-7,7,-7,7,-8,7,-8,7,-8,6,-8,6,-9,6,-8,6,-9,6,-9,6,-10,6,-11,6,-10,6,-11,6,-11,5,-12,5,-11,5,-11,4,-12,5,-11,5,-11,4,-12,5,-11,4,-13,4,-13,4,-13,0,0,4,-14,5,-14,4,-14,4,-13,4,-13,4,-14,5,-15,5,-13,5,-17,7,-14,5,-16,5,-12,6,-15,4,-14,6,-15,5,-15,7,-13,6,-14,6,-13,6,-13,7,-12,7,-12,7,-11,7,-12,8,-11,9,-10,0,0,0,0,0,0,0,0,0,0
"
"84,-64,4,0,0,0,0,0,0,0,0,0,-1,-10,-1,-9,-2,-10,-2,-10,-2,-10,-2,-10,-3,-10,-3,-9,-3,-10,-3,-9,-3,-10,-5,-10,-4,-10,-5,-10,-4,-10,-6,-11,-5,-9,-5,-10,-6,-9,-6,-10,-6,-11,-7,-10,-6,-10,-7,-10,-7,-11,-8,-11,0,0,-8,-11,-8,-11,-8,-11,-9,-12,-8,-11,-8,-11,-8,-11,-8,-11,-8,-12,-8,-12,-8,-12,-7,-11,-7,-12,-8,-12,-7,-12,-7,-12,-8,-13,-6,-12,-6,-12,-6,-13,-5,-12,-6,-13,-5,-12,-5,-13,-3,-12,-3,-12,0,0,0,0,0,0,0,0,0,0
"
"84,-64,4,0,0,0,0,0,0,0,0,0,-2,11,-2,10,-1,11,-1,11,-1,11,-1,11,0,11,0,11,0,11,2,10,1,11,2,12,2,12,2,12,2,12,3,12,3,12,3,12,3,12,3,12,3,12,3,13,3,12,5,12,4,13,5,13,0,0,5,13,5,13,5,13,6,14,5,13,5,14,5,14,5,14,5,15,6,14,5,15,4,14,4,15,4,14,4,15,4,15,4,15,3,15,2,15,2,15,1,14,1,14,1,14,0,14,-1,14,-1,13,0,0,0,0,0,0,0,0,0,0
"
"84,-64,4,0,0,0,0,0,0,0,0,0,8,5,8,5,9,4,9,5,9,4,9,4,10,4,10,4,10,3,10,3,11,3,11,3,11,2,11,2,11,3,12,2,12,1,11,2,12,1,12,1,12,1,13,1,12,2,13,0,14,1,13,0,0,0,14,0,14,0,14,0,14,0,14,0,14,-1,15,-1,15,0,15,0,14,1,16,1,15,1,15,0,15,1,14,1,14,1,15,2,14,3,14,2,14,3,13,3,13,3,13,4,13,4,12,5,12,5,0,0,0,0,0,0,0,0,0,0
"
